Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Flower,Natsumi You Salon Concert - Hasta Manha,夏美ようサロンコンサート「アスタマーニャ」,Natsumi You Salon Concert - Hasta Manha,Daiichi Hotel Tokyo,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Natsumi You,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,26,12,2000,27,12,2000
Snow,Singing in the Moonlight,月夜歌聲,Tsukiyo no Utagoe,Akasaka ACT Theater,Kodama Akiko,Kodama Akiko,Yoshida Yuuko,Hayama Kiyomi,N/A,0,N/A,0,"Kozuki Wataru, Asami Hikaru",FALSE,TRUE,FALSE,FALSE,"drama, chinese",TRUE,movie,FALSE,FALSE,18,12,2000,24,12,2000
Mixed,Adieu Takarazuka 1000days Theater,アデュー・TAKARAZUKA１０００days劇場,Adieu Takarazuka 1000days Gekijou,1000 Days Theater,"Ueda Shinji, Miki Akio, Ishida Masaya",N/A,"Yoshizaki Kenji, Nishimura Kouji, Miyahara Tooru, Kuratomi Shinichi",Miori Yumino,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,13,12,2000,13,12,2000
Snow,Naruse Kouki Dinner Show - Blue Blood,成瀬こうきディナーショー「Blue　Blood」,Naruse Kouki Dinner Show - Blue Blood,Daiichi Hotel Tokyo,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Naruse Kouki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,8,12,2000,9,12,2000
Snow,Singing in the Moonlight,月夜歌聲 ,Tsukiyo no Utagoe,Theater Drama City,Kodama Akiko,Kodama Akiko,Yoshida Yuuko,Hayama Kiyomi,N/A,0,N/A,0,"Kozuki Wataru, Asami Hikaru",FALSE,TRUE,FALSE,FALSE,"drama, chinese",TRUE,movie,FALSE,FALSE,5,12,2000,12,12,2000
Snow,Naruse Kouki Dinner Show - Blue Blood,成瀬こうきディナーショー「Blue　Blood」,Naruse Kouki Dinner Show - Blue Blood,Takarazuka Hotel,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Naruse Kouki,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,21,11,2000,22,11,2000
Flower,Ludwig II,ルートヴィヒII世,Ludwig II,Takarazuka Grand Theater,Ueda Keiko,Ueda Keiko,"Yoshida Yuuko, Kai Masato","Shou Sumire, Masaki Rino, Miori Yumino",Aika Mire,6,Ootori Rei,6,N/A,TRUE,FALSE,FALSE,FALSE,"drama, biography",FALSE,FALSE,FALSE,FALSE,10,11,2000,18,12,2000
Flower,Asian Sunrise,ASIAN　SUNRISE,Asian Sunrise,Takarazuka Grand Theater,Okada Keiji,Okada Keiji,"Yoshizaki Kenji, Takahashi Kuni, Kai Masato, Miyahara Tooru","Hayama Kiyomi, Ootani Morio, Muromachi Akane, Miori Yumino, Zhenzang Dafeng, Zhongheng Yian",Aika Mire,6,Ootori Rei,6,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,10,11,2000,18,12,2000
Cosmos,Nostalgia Across the Sea,望郷は海を越えて,Boukyou wa Umi o Koete,1000 Days Theater,Tani Masazumi,Tani Masazumi,"Yoshizaki Kenji, Miyahara Tooru","Nishizaki Mayumi, Shou Sumire",Wao Youka,2,Hanafusa Mari,24,N/A,TRUE,FALSE,FALSE,FALSE,"drama, 1700s, japanese, russian, nihonmono",TRUE,novel,FALSE,FALSE,3,11,2000,12,12,2000
Cosmos,Millennium Challenger!,ミレニアム・チャレンジャー！,Millennium Challenger!,1000 Days Theater,Ishida Masaya,Ishida Masaya,"Nishimura Kouji, Minami Yasuo, Bob Sakuma, Onodera Tadakazu, SASA","Ai Erina, Maeda Kiyomi, Irie Tashiaki, SAM",Wao Youka,2,Hanafusa Mari,24,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,3,11,2000,12,12,2000
"Senka, Snow, Cosmos",Shibuki Jun Live Concert - ALL ABOUT RIKA,紫吹　淳ライブコンサート ALL ABOUT RIKA,Shibuki Jun Live Concert - ALL ABOUT RIKA,Bow Hall,Koike Shuuichirou,Koike Shuuichirou,"Yoshida Yuuko, Kuratomi Shinichi","Hayama Kiyomi, Maeda Kiyomi, Kawasaki Etsuko",N/A,0,N/A,0,Shibuki Jun,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,3,11,2000,7,11,2000
Star,"Flower Blizzard, Love Blizzard",花吹雪 恋吹雪,"Hanafubuki, Koifubuki",Nippon Seinenkan Hall,Saitou Yoshiamasa,Saitou Yoshimasa,"Takahashi Kuni, Imade Tetsuya, Kikawa Dashin","Masaki Rino, Wakao Risa",N/A,0,N/A,0,"Aran Kei, Akisono Mio",FALSE,TRUE,FALSE,FALSE,"drama, japanese, 1500s, biography",FALSE,FALSE,FALSE,FALSE,2,11,2000,7,11,2000
Star,Golden Pharaoh,黄金のファラオ,Ougon no Pharaoh,National Tour,Nakamura Satoru,Nakamura Satoru,"Nishimura Kouji, Kuratomi Shinichi","Hayama Kiyomi, Seri Machika, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,"drama, ancient, egyptian",FALSE,FALSE,FALSE,FALSE,20,10,2000,12,11,2000
Star,Miracat,美麗猫,Miracat,National Tour,Miki Akio,Miki Akio,"Takahashi Kuni, Yoshida Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Nakura Kayoko, Ai Erina, Miori Yumino, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,20,10,2000,12,11,2000
Cosmos,Wao Youka Dinner Show - Believe,和央ようかディナーショー「Believe」,"Hanafubuki, Koifubuki",Palace Hotel,Sakai Sumio,N/A,Yoshida Yuuko,N/A,N/A,0,N/A,0,Wao Youka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,14,10,2000,15,10,2000
Star,"Flower Blizzard, Love Blizzard",花吹雪 恋吹雪,"Flower Blizzard, Love Blizzard",Bow Hall,Saitou Yoshiamasa,Saitou Yoshimasa,"Takahashi Kuni, Imade Tetsuya, Kikawa Dashin","Masaki Rino, Wakao Risa",N/A,0,N/A,0,"Aran Kei, Akisono Mio",FALSE,TRUE,FALSE,FALSE,"drama, japanese, 1500s, biography",FALSE,FALSE,FALSE,FALSE,12,10,2000,27,10,2000
Cosmos,Wao Youka Dinner Show - Believe,和央ようかディナーショー「Believe」,Wao Youka Dinner Show - Believe,Hotel Hankyu International,Sakai Sumio,N/A,Yoshida Yuuko,N/A,N/A,0,N/A,0,Wao Youka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,10,10,2000,11,10,2000
Moon,Prisoner of Zenda,ゼンダ城の虜 ,Zendajou no Toriko,Takarazuka Grand Theater,Kimura Shinji,Kimura Shinji,Kai Masato,"Takemura Rui, Miura Tooru",Makoto Tsubasa,10,Dan Rei,6,N/A,TRUE,FALSE,FALSE,FALSE,"drama, 1800s, european",TRUE,novel,FALSE,FALSE,29,9,2000,6,11,2000
Moon,Jazzmania,ジャズマニア,JazzMania,Takarazuka Grand Theater,Miki Akio,Miki Akio,"Takahashi Kuni, Yoshida Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Nakura Kayoko, Ai Erina, Miori Yumino, Wakao Risa",Makoto Tsubasa,10,Dan Rei,6,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,29,9,2000,6,11,2000
"Senka, Snow, Cosmos",Shibuki Jun Live Concert - ALL ABOUT RIKA,紫吹　淳ライブコンサート ALL ABOUT RIKA,Shibuki Jun Live Concert - ALL ABOUT RIKA,Le Theatre Ginza,Koike Shuuichirou,Koike Shuuichirou,"Yoshida Yuuko, Kuratomi Shinichi","Hayama Kiyomi, Maeda Kiyomi, Kawasaki Etsuko",N/A,0,N/A,0,Shibuki Jun,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,28,9,2000,2,10,2000
Flower,Iori Naoka Dinner Show - LOVE BEAT,伊織直加ディナーショー「LOVE　BEAT」,Iori Naoka Dinner Show - LOVE BEAT,Tokyo Kaikan,Fujii Daisuke,N/A,N/A,Ai Erina,N/A,0,N/A,0,Iori Naoka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,27,9,2000,28,9,2000
Flower,The Great Adventures of Tom Jones,トム・ジョーンズの華麗なる冒険,Tom Jones no Karei Naru Bouken,Nippon Seinenkan Hall,Oota Tetsunori,Oota Tetsunori,"Yoshizaki Kenji, Takeuchi Kazuhiro, Maeda Shigemi",Miyazaki Atsumi,N/A,0,N/A,0,"Maikaze Rira, Takumi Hibiki",FALSE,TRUE,FALSE,FALSE,"drama, comedy, English",TRUE,novel,FALSE,FALSE,24,9,2000,30,9,2000
Snow,Department Store,デパートメント・ストア,Department Store / Gaisenmon,999 Days Theater,Masatsuka Haruhiko,Masatsuka Haruhiko,"Takahashi Kuni, Miyahara Tooru, Kuratomi Shinichi","Iga Yuuko, Ueshima Yukio, Kawasaki Etsuko",Todoroki Yuu,10,Tsukikage Hitomi,10,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,22,9,2000,29,10,2000
