Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author ,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Flower,Canary,カナリア,Canary,Theater Drama City,Masatsuka Haruhiko,Masatsuka Haruhiko,Takahashi Kuni. Miyahara Tooru,Iga Yuuko. Hirasawa Satoshi,Takumi Hibiki,1,Ootori Rei,8,N/A,FALSE,TRUE,FALSE,FALSE,drama. comedy. supernatural. french,FALSE,FALSE,FALSE,FALSE,21,12,2001,29,12,2001
Snow,Todoroki Yuu Dinner Show - Noche de Yu,轟悠ディナーショー「Noche de Yu」,Todoroki Yuu Dinner Show - Noche de Yu,Palace Hotel,Sakai Sumio,Sakai Sumio,N/A,N/A,N/A,0,N/A,0,Todoroki Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,7,12,2001,8,12,2001
Snow,Todoroki Yuu Dinner Show - Noche de Yu,轟悠ディナーショー「Noche de Yu」,Todoroki Yuu Dinner Show - Noche de Yu,Hotel Hankyu International,Sakai Sumio,Sakai Sumio,N/A,N/A,N/A,0,N/A,0,Todoroki Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,2,12,2001,3,12,2001
Snow,Asami Hikaru Dinner Show - Dancer in the Dark,朝海ひかるディナーショー「Dancer　in　The　Dark」,Asami Hikaru Dinner Show - Dancer in the Dark,Hotel Grand Palace,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Asami Hikaru,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,27,11,2001,28,11,2001
Snow,Over the Moon -Tsukikage Hitomi Chronicle-,Over The Moon －月影瞳クロニクル－,Over the Moon -Tsukikage Hitomi Chronicle-,Bow Hall,Ogita Kouichi,Ogita Kouichi. Kobayashi Kouhei,Takahashi Kuni. Yoshida Yuuko,Iga Yuuko. Miori Yumino. Wakao Risa,N/A,0,N/A,0,Tsukikage Hitomi,FALSE,TRUE,FALSE,FALSE,drama. american. 50s. biography,FALSE,FALSE,FALSE,FALSE,24,11,2001,26,11,2001
Snow,Asami Hikaru Dinner Show - Dancer in the Dark,朝海ひかるディナーショー「Dancer　in　The　Dark」,Asami Hikaru Dinner Show - Dancer in the Dark,Takarazuka Hotel,Ogita Kouichi,N/A,N/A,N/A,N/A,0,N/A,0,Asami Hikaru,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,20,11,2001,21,11,2001
Cosmos,Castel Mirage,カステル･ミラージュ,Castel Mirage,Takarazuka Grand Theater,Koike Shuuichirou,Koike Shuuichirou,Yoshida Yuuko. Kai Masato,Maeda Kiyomi. Miori Yumino. Kanamori Jou,Wao Youka,5,Hanafusa Mari,27,N/A,TRUE,FALSE,FALSE,FALSE,drama. american. biography,FALSE,FALSE,FALSE,FALSE,16,11,2001,25,12,2001
Cosmos,Dancing Spirit!,ダンシング･スピリット,Dancing Spirit!,Takarazuka Grand Theater,Nakamura Kazunori,Nakamura Kazunori,Nishimura Kouji. Kai Masato. Kuratomi Shinichi,Nakura Kayoko. Ieki Hiroshi. Ai Erina. Ootani Morio. KAZUMI-BOY,Wao Youka,5,Hanafusa Mari,27,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,16,11,2001,25,12,2001
Star,Revolt of a Gallant Poet,花の業平,Hana no Narihira,Tokyo Takarazuka Theater,Onoe Kikunojou,Shibata Yukihiro,Yoshida Yuuko,Onoe Kikunojou,Kouju Tatsuki,1,Nagisa Aki,1,N/A,TRUE,FALSE,FALSE,FALSE,drama. japanese. ancient. nihonmono,FALSE,FALSE,TRUE,star,16,11,2001,23,12,2001
Star,Southern Cross Revue II,サザンクロス･レビューII,Southern Cross Revue II,Tokyo Takarazuka Theater,Kusano Akira,Kusano Akira,Takahashi Kuni. Kuratomi Shinichi. Kiyagawa Akira,Hayama Kiyomi. Shou Sumire. Nakura Kayoko. Ueshima Yukio. Iga Yuuko,Kouju Tatsuki,1,Nagisa Aki,1,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,16,11,2001,23,12,2001
