Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Senka. Cosmos,Todoroki Yuu Dinner Show - The way Yu are,轟悠ディナーショー 「The way Yu are」,Todoroki Yuu Dinner Show - The way Yu are,Hotel Hankyu International,Sakai Sumio,N/A,Yoshida Yuuko,Wakao Risa,N/A,0,N/A,0,Todoroki Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,26,12,2002,28,12,2002
Senka. Cosmos,Todoroki Yuu Dinner Show - The way Yu are,轟悠ディナーショー 「The way Yu are」,Todoroki Yuu Dinner Show - The way Yu are,Tokyo Palace Hotel,Sakai Sumio,N/A,Yoshida Yuuko,Wakao Risa,N/A,0,N/A,0,Todoroki Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,14,12,2002,16,12,2002
Cosmos,Miracle of the Holy Star,聖なる星の奇蹟 －いつか出会う君に－,Sei Naru Hoshi no Kiseki -Itsuka Deau Kimi ni-,Theater Drama City,Kodama Akiko,Kodama Akiko,N/A,N/A,Wao Youka,8,Hanafusa Mari,30,N/A,FALSE,TRUE,FALSE,FALSE,drama. time travel,FALSE,FALSE,FALSE,FALSE,20,12,2002,29,12,2002
Flower,Haruno Sumire Dinner Show - S (es),春野寿美礼ディナーショー「Ｓ【ｅｓ】」,Haruno Sumire Dinner Show - S (es),Hotel Grand Palace,Masatsuka Haruhiko,N/A,Takahashi Kuni,Iga Yuuko,N/A,0,N/A,0,Haruno Sumire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,8,12,2002,9,12,2002
Flower,Juri Sakiho Dinner Show - Shine It On,樹里咲穂ディナーショー「Shine It On」,Juri Sakiho Dinner Show - Shine It On,Palace Hotel,Nakamura Kazunori,N/A,N/A,N/A,N/A,0,N/A,0,Juri Sakiho,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,5,12,2002,6,12,2002
Flower,Haruno Sumire Dinner Show - S (es),春野寿美礼ディナーショー「Ｓ【ｅｓ】」,Haruno Sumire Dinner Show - S (es),Hotel Hankyu International,Masatsuka Haruhiko,N/A,Takahashi Kuni,Iga Yuuko,N/A,0,N/A,0,Haruno Sumire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,2,12,2002,3,12,2002
Flower. Snow. Cosmos,4th Akiko Kanda Lesson Recital,第4回アキコ・カンダ　レッスン発表会,Daiyonkai Akiko Kanda Lesson Happyoukai,Takarazuka Grand Theater,Akiko Kanda,Akiko Kanda,N/A,Akiko Kanda,N/A,0,N/A,0,N/A,FALSE,FALSE,TRUE,FALSE,dance,FALSE,FALSE,FALSE,FALSE,30,11,2002,30,11,2002
Flower,Juri Sakiho Dinner Show - Shine It On,樹里咲穂ディナーショー「Shine It On」,Juri Sakiho Dinner Show - Shine It On,Shin Hankyu Hotel,Nakamura Kazunori,N/A,N/A,N/A,N/A,0,N/A,0,Juri Sakiho,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,28,11,2002,29,12,2002
Star,The Glassy Landscape,ガラスの風景,Glass no Fuukei,Takarazuka Grand Theater,Sha Tamae,Shibata Yukihiro,Takahashi Kuni. Saitou Tsuneyoshi. Tama Shouichi,Sha Tamae,Kouju Tatsuki,5,Nagisa Aki,5,N/A,TRUE,FALSE,FALSE,FALSE,drama. italian. 70s,FALSE,FALSE,FALSE,FALSE,22,11,2002,24,11,2002
Star,Babylon,バビロン －浮遊する摩天楼－,Babylon -Fuyuu Suru Matenrou-,Takarazuka Grand Theater,Ogita Kouichi,Ogita Kouichi,Takahashi Kuni. Kai Masato. Saitou Tsuneyoshi,Iga Yuuko. Masaki Rino. Miori Yumino. Kawasaki Etsuko. Hirasawa Satoshi,Kouju Tatsuki,5,Nagisa Aki,5,N/A,TRUE,FALSE,FALSE,FALSE,revue. taidan,FALSE,FALSE,FALSE,FALSE,22,11,2002,24,12,2002
Moon,At the End of a Long Spring,長い春の果てに,Nagai Haru no Hate ni,Tokyo Takarazuka Theater,Ishida Masaya,Ishida Masaya,Nishimura Kouji,Ai Erina. Maeda Kiyomi,Shibuki Jun,6,Emi Kurara,6,N/A,TRUE,FALSE,FALSE,FALSE,drama. comedy. french,TRUE,film,FALSE,FALSE,15,11,2002,23,11,2002
Moon,With a Song in My Heart,With a Song in my Heart －君が歌、わが心に深く－,With a Song in My Heart -Kimi ga Uta. Waga Kokoro ni Fukaku-,Tokyo Takarazuka Theater,Okada Keiji,Okada Keiji,Yoshizaki Kenji. Takahashi Kuni. Kai Masato. Miyahara Tooru. Kikawada Shin,Hayama Kiyomi. Tsukasa Konomi. Ootani Morio. Muromachi Akane. Miori Yumino,Shibuki Jun,6,Emi Kurara,6,N/A,TRUE,FALSE,FALSE,FALSE,revue,TRUE,broadway,FALSE,FALSE,15,11,2002,23,12,2002
Snow,Hopscotch,ホップ スコッチ －Hopscotch　石けり－,Hopscotch -Ishikeri-,Nippon Seinenkan Hall,Oota Tetsunori,Oota Tetsunori,Yoshizaki Kenji. Maeda Shigezane. Kikawada Shin,Miyazaki Atsumi,N/A,0,N/A,0,Tatsuki You. Sou Kazuho. Otozuki Kei,FALSE,TRUE,FALSE,FALSE,drama. comedy. mystery. 20s. american,FALSE,FALSE,FALSE,FALSE,1,11,2002,7,11,2002
Snow,Reunion,再会,Saikai,National Tour,Ishida Masaya,Ishida Masaya,Nishimura Kouji,Ai Erina,Asami Hikaru,1,Maikaze Rira,1,N/A,TRUE,FALSE,FALSE,FALSE,drama. american. comedy,FALSE,FALSE,FALSE,FALSE,26,10,2002,17,11,2002
Snow,The Splendor of 1000 Beats 2002,華麗なる千拍子 2002,Karei Naru Sen Byoushi 2002,National Tour,Sakai Sumio. Nakamura Kazunori,Takagi Shirou,Nishimura Kouji. Kai Masato. Kuratomi Shinichi,Nakura Kayoko. Ieki Hiroshi. Ai Erina. Ootani Morio,Asami Hikaru,1,Maikaze Rira,1,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,26,10,2002,17,11,2002
